Id,TARGET
19477,low
29937,medium
109148,high
65728,low
33623,low
57810,high
50217,low
104393,low
91380,medium
21764,low
3727,low
120088,low
88049,low
58047,low
110099,low
73272,low
51873,low
118581,high
13237,low
117910,low
85236,high
68617,high
56179,medium
16959,low
21360,low
2970,low
87678,low
20841,low
20740,low
46878,low
56125,low
106664,low
24490,low
80257,low
94066,low
7243,medium
95433,low
13015,high
72648,low
14281,low
63686,low
110515,low
62939,high
71256,low
21598,low
112101,low
101255,low
67554,medium
49678,low
65721,low
20308,low
108540,low
66236,low
9136,low
106126,low
13505,low
94812,low
29397,low
89901,high
101605,low
7683,low
96692,low
84042,low
31283,low
93028,low
113169,low
97069,low
15948,medium
61889,high
59636,low
64062,medium
89208,low
76800,high
28751,high
28832,low
115543,low
101282,low
118261,low
32868,low
119523,low
35982,medium
34347,low
121212,high
58268,high
8393,medium
74449,medium
80849,low
28449,low
77530,low
48513,low
39966,high
84117,medium
82940,low
94169,high
67061,medium
35742,high
12966,low
17203,low
12634,low
111904,low
23506,medium
71773,low
56085,low
123441,high
71334,medium
54278,low
121495,high
21780,low
34399,low
53692,low
101199,low
46516,low
45913,high
11666,low
17797,low
71751,low
97079,low
28062,low
85180,medium
7836,high
37812,low
9206,low
8333,low
76461,high
91430,low
52318,low
9333,low
109262,low
78740,low
5366,low
121230,low
106259,low
100841,low
20413,medium
70076,high
53696,medium
48600,high
114729,medium
101215,high
73050,low
41408,low
85031,low
42630,medium
114798,low
3964,low
104750,low
16172,high
102394,high
111433,low
50616,low
86667,low
14807,low
79456,low
7507,low
118740,low
11433,high
49894,high
49897,medium
12803,low
93797,low
44747,low
1896,low
46562,low
83133,low
94614,high
43151,low
13497,low
63283,high
47226,low
91458,high
87634,medium
47987,low
47006,low
73635,low
18109,low
33842,low
76985,low
121153,low
47354,low
114967,low
6013,low
117373,low
1250,low
50104,low
114431,low
107471,low
1056,low
7935,low
26604,low
108169,low
85687,low
30355,low
52289,low
87639,medium
106271,low
2603,high
32547,low
13293,low
90636,low
5655,low
45110,medium
4459,low
16036,low
94753,low
100659,low
54184,low
111934,low
63661,low
12050,low
15113,low
77850,low
70200,low
7171,low
74314,high
2452,low
85379,low
66906,medium
34934,high
3635,low
46873,low
108004,low
27964,low
47375,low
108287,high
61673,low
71712,low
116144,low
20609,low
13073,medium
33565,low
32408,low
112027,low
20924,low
102230,medium
44708,low
74491,low
36858,low
33974,low
7790,low
108866,medium
22050,low
79731,low
4962,low
36809,medium
116115,high
52710,low
37969,low
118600,low
41254,low
35276,low
52100,low
71235,medium
53101,low
59507,low
60371,medium
93262,medium
52065,low
74154,low
111838,low
90214,low
101630,low
56649,low
97868,medium
56416,low
40003,low
23478,low
89835,high
115139,high
81248,medium
1782,low
88329,medium
117235,low
117558,high
38157,low
61437,medium
17754,low
73649,low
95125,low
109138,low
100055,low
18526,low
114533,medium
8806,low
92104,low
121238,medium
72838,low
34009,low
100641,low
62058,low
81586,low
67894,low
122374,low
13751,low
36197,low
35771,low
121746,low
1527,high
122619,high
97343,low
13734,high
119705,low
25975,low
28067,low
70803,low
38524,high
80028,low
113800,low
62191,low
67283,low
8905,low
34797,low
11242,low
35048,low
12371,low
39304,medium
36009,low
2928,low
61339,low
58740,low
94788,low
44710,low
34024,low
4474,low
104283,low
37129,low
94987,low
4343,low
121358,low
11817,low
52701,medium
78485,low
936,low
29616,low
91169,low
105078,low
69708,low
109914,low
32601,medium
194,medium
4752,low
11884,low
73778,low
92175,low
98286,low
119557,low
49275,low
29409,low
121078,low
6249,high
23229,low
70536,low
29713,low
37588,low
93239,low
79372,low
16293,low
98796,low
73018,low
24494,medium
72374,low
88460,low
117478,medium
567,low
43909,high
106315,low
7887,high
121773,low
5937,low
102656,low
53970,low
52012,medium
4676,low
23377,low
99274,low
28468,low
119857,medium
828,low
114193,low
10229,low
110206,medium
30609,low
61393,low
16937,high
108180,high
99134,low
47281,low
70543,low
63012,low
