iter	RMSE
0	4477624.518
1	4218863.192
2	3980827.266
3	3793373.523
4	3655202.519
5	3521955.083
6	3404630.174
7	3316040.44
8	3243874.55
9	3178226.047
10	3123473.386
11	3072251.214
12	3030058.489
13	2997039.772
14	2968245.533
15	2935190.652
16	2908650.48
17	2875006.077
18	2855071.42
19	2833848.791
20	2817022.307
21	2800450.609
22	2786442.419
23	2770136.796
24	2755841.486
25	2740167.636
26	2725971.928
27	2717462.425
28	2704922.064
29	2699305.118
30	2688822.234
31	2678374.983
32	2662203.945
33	2653802.85
34	2644941.939
35	2634159.13
36	2626385.547
37	2617008.618
38	2608453.489
39	2599866.864
40	2593311.296
41	2587422.933
42	2581870.051
43	2578790.881
44	2573916.544
45	2567703.868
46	2561705.285
47	2559833.395
48	2552591.337
49	2543585.546
50	2535498.974
51	2530103.286
52	2527227.449
53	2520985.407
54	2517169.072
55	2510165.339
56	2506491.272
57	2502888.898
58	2496590.471
59	2491205.651
60	2487863.571
61	2481840.054
62	2472570.719
63	2469724.746
64	2465686.531
65	2458692.36
66	2453508.894
67	2446886.816
68	2440952.904
69	2435907.673
70	2429610.613
71	2423690.99
72	2415976.95
73	2411111.424
74	2402876.375
75	2402324.08
76	2393555.955
77	2388013.703
78	2382299.67
79	2374876.708
80	2369814.346
81	2366090.647
82	2359821.322
83	2353084.705
84	2349054.913
85	2340756.425
86	2334171.963
87	2329558.978
88	2328676.733
89	2327984.679
90	2324235.6
91	2318750.275
92	2311001.029
93	2304419.878
94	2299191.306
95	2295014.128
96	2292160.919
97	2285077.957
98	2281612.558
99	2277245.555
100	2274045.944
101	2267961.495
102	2264441.458
103	2260560.73
104	2256592.212
105	2248578.986
106	2243373.187
107	2240749.379
108	2238261.805
109	2233182.787
110	2229107.379
111	2225824.797
112	2223718.287
113	2219583.831
114	2216873.921
115	2214922.03
116	2209721.503
117	2203631.78
118	2200709.368
119	2196650.969
120	2194135.398
121	2190608.305
122	2187175.875
123	2183165.686
124	2178602.195
125	2172792.136
126	2168903.346
127	2164728.224
128	2160921.675
129	2156217.688
130	2153596.696
131	2149564.198
132	2149278.03
133	2144843.438
134	2139558.967
135	2138065.709
136	2134135.06
137	2131203.839
138	2126531.449
139	2123091.64
140	2117296.109
141	2112339.211
142	2106872.215
143	2105639.714
144	2102191.887
145	2098084.366
146	2093519.661
147	2087968.438
148	2084714.966
149	2082946.541
150	2082815.766
151	2079239.423
152	2075129.336
153	2071663.574
154	2067705.926
155	2063561.991
156	2058144.289
157	2054027.105
158	2051547.068
159	2047121.923
160	2042428.738
161	2039674.291
162	2037627.56
