iter	Passed	Remaining
0	45	22553
1	85	21267
2	128	21364
3	183	22790
4	226	22409
5	273	22526
6	315	22224
7	356	21949
8	404	22090
9	445	21834
10	489	21760
11	536	21828
12	581	21797
13	626	21743
14	668	21610
15	712	21559
16	754	21438
17	794	21286
18	841	21292
19	883	21214
20	926	21137
21	983	21359
22	1026	21290
23	1076	21342
24	1116	21219
25	1171	21361
26	1218	21337
27	1268	21382
28	1317	21390
29	1371	21481
30	1412	21376
31	1458	21327
32	1500	21239
33	1542	21135
34	1586	21081
35	1628	20986
36	1672	20925
37	1712	20817
38	1754	20733
39	1802	20731
40	1844	20647
41	1886	20574
42	1927	20484
43	1971	20434
44	2015	20381
45	2058	20320
46	2105	20289
47	2154	20291
48	2205	20300
49	2254	20294
50	2312	20358
51	2365	20378
52	2418	20395
53	2472	20419
54	2525	20434
55	2580	20463
56	2640	20523
57	2694	20530
58	2754	20588
59	2810	20608
60	2868	20645
61	2922	20648
62	2979	20666
63	3041	20721
64	3098	20738
65	3161	20789
66	3218	20799
67	3285	20874
68	3343	20886
69	3405	20919
70	3462	20922
71	3521	20932
72	3580	20942
73	3638	20946
74	3698	20958
75	3752	20935
76	3816	20968
77	3878	20982
78	3940	21001
79	4004	21024
80	4066	21035
81	4128	21044
82	4192	21064
83	4255	21074
84	4315	21069
85	4378	21076
86	4439	21075
87	4500	21068
88	4555	21035
89	4606	20983
90	4664	20963
91	4719	20928
92	4785	20942
93	4853	20961
94	4911	20937
95	4967	20906
96	5027	20888
97	5087	20868
98	5156	20886
99	5217	20868
100	5277	20847
101	5336	20821
102	5402	20821
103	5466	20813
104	5525	20785
105	5590	20779
106	5663	20799
107	5734	20815
108	5797	20795
109	5863	20789
110	5934	20798
111	6010	20821
112	6088	20852
113	6177	20917
114	6267	20982
115	6341	20991
116	6423	21028
117	6509	21071
118	6576	21055
119	6645	21043
120	6713	21027
121	6814	21114
122	6893	21128
123	6966	21124
124	7051	21153
125	7158	21248
126	7228	21230
127	7304	21227
128	7372	21202
129	7444	21187
130	7507	21146
131	7575	21119
132	7629	21053
133	7708	21055
134	7771	21013
135	7835	20972
136	7899	20931
137	7966	20897
138	8028	20851
139	8098	20824
