Hotel_name,Review_Title,Review_Text,Rating
itc grand chola,mr neeraj,night arriv ny minor problem room mr neeraj extrem help sort issu immedi along engin staff prompt servic extrem courteous manner cannot go unnot thank neeraj god bless,98.84226958594107
hotel pandian,,great still accept bit high money wise,65.32309956741585
oyo room guindi olympia tech park,nice stay corpor peopl,good place stay peopl visit olympia tech park minut walk tech park facil quit good tradit breakfast provid tast good airport pick drop servic would help bit that fine easi find place use map,81.4317790396
oyo apart saidapet,averag hotel,worth money paidworst acno waterno clean room,55.84151706454146
ramada chennai egmor,good mid rang corpor hotel,well locat hotel decent size room bit date decor good size bathroom reason amen the dinner buffet well price food decent qualiti what set hotel pack staff friend well train help,76.77925733031897
mahalaya resid,good stay,fantast stay hotel staff good cooper room clean maintain food restaur good fresh nice serv moreov good experi,86.4119212548517
savera,wonder stay savera,realli hard believ k hand easili get room star hotel complimentari breakfast thank makemytrip yeah stay realli worth everi penni spent cheer,84.41017668051279
lemon tree chennai,averag stay,compar lemon tree stay bit disappoint compar room comfort,76.87173149184977
nachiappa park,servic worst,one close friend refer hotel book even check room room clean proper helplin number contact recept servic etc towel soap accessori provid big fight receptionist provid towel soap min worst servic ever,36.33900059633191
ramada chennai egmor,bad esp price,pleasant stay great breakfast,81.868164659496
maurya intern,june chennai,bkfst great someway cold servic restaur poorth floor noisi bar worker dont know quit clean plain keep window close bug nois bad,61.274207987126495
green meadow,good stay one day,locat good servic good room good facil good valu money cleanli good swim pool kind ok great restaur bar good resort big small want spend one day ok,78.0441651653933
iri,great experi slow room servic,room servic terribl slow bottl water wait hr min last water came warm ask cold overal great experi although buffet breakfast good cost hotel consid room servic,71.17417680897354
accord metropolitan,,facil nice valu fantast servic profession cleanli pleasant there three restaur insid hotel plenti varieti,85.06803789167088
mahalaya resid,proxim good,proxim airport room servic there noth say place last time stay savera chennai realli good one leav bad memori word room servic personnel plus even though food qualiti averag,60.61417803443979
leela palac,,friend staff area good indian restaur downstairspool great also short walk away awesom chai local,71.3601720339762
spring,worth money,worth servic bad hotel staff accommod food restaur good expens keep list advantag is walk distanc us vac us consul isnt enough choos,63.75681721162619
treebo grand marena,good hotel nice staff,great stay hotel first place felt peopl keen happi serv smile face genuin creat good impress hotel moment land chennai live throughout stay,84.81440573799856
fabhotel priyadarshini park mount road,good stay reason rate,ideal locat averag hotel cleanli averag small room good breakfast situat mount road access citi area behaviour front offic staff good recommend travel stay reason rent,67.1898143277442
mar delux,busi travel,good consid locat still could better price charg servic good would recommend someon aboard flight,76.5525762369234
omr guest hous,nice stay love locat,place realli good ambianc hotel front staff friend profession budget properti free internet hour room size big room clean well present bathroom good drink water also good qualiti ac work fine heart citi wellconnect main road citi,71.14542618401246
resid tower,good experi,good experi wonder time servic excel provid best servic thank wonder experi keep good work maintain hotel,83.27090516189733
treebo grand marena,good hospit,good hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospit,67.27195646823083
pratap plaza,pleasant experi,book hotel visa interview us consul staff help check nice room guid us nearbi place friend food littl pricey option right walkabl distanc pleasant experi,80.7165685460535
resid chennai,,ac goodb much good worth pay,46.17333070184846
rivera,old hotel averag breakfast,hotel old one bathroom good near egmor station main road bed good bedroom complementari breakfast also averag worthi amt paid check price hotel book,66.61478373472144
season guest hous,,nice stay complementari breakfast good overal experi satisfactori,67.98403798264637
southern crest,satisfi stay,book room two day got one day occup hotel manag told alreadi full room one week inform makemytrip makemytrip mistak lost money day,51.85879447943221
fabhotel blossom nagar,hotel locat well staff friend,busi trip two day nice hotel locat good close us consul close market place railway station airport neat clean nice food nice restaur friend staff qualiti servic enjoy stay,85.89394557285749
fabhotel metro manor central station,good hotel locat near railway station,good hotel locat nearest railway station food servic good,72.83370358587464
fabhotel metro manor central station,pay cash everyth,unlik earlier everyth bill paid check time pay cash everyth bought includ food qualiti food also gone breakfast dinner hotel food earlier standard regret choos hotel though stay last five year,63.99846792087939
kek accommod,stop chennai pondicherri,get pay conveni airport stay two night transit pondicherri room basic reason cleanit hot water free wi fi staff pleasant went way help defiant budget hotel situat back street chennai long accept ok would quit happi stay,77.7435728789114
raj park chennai,good improv,good room nice facil breakfast good feel like home food negat one net access wifi connect work proper otherwis good room facil,85.79413000490753
hanu reddi resid wallac garden,awesom locat great staff,hotel nice nice locat visit hotel vehicl hotel easi locat hotel main road appear hotel awesom interior also cool food drink delici housekeep servic also great help hotel mani tree atmospher also pleasant,85.52631710347636
vgp golden beach resort,good famili hotel,great place spend day famili food qualiti need improv divers qualiti room extra like kettl tea coffe avail otherwis comfort stay good facil includ clean beach,75.94035739908281
accord metropolitan,excel comfort stay,realli nice place stay especi busi tourist purpos,99.66858237033289
mahalaya resid,,stay short one night comfort,66.4524535406523
radisson blu grt chennai,nice accommod excel hospit,excel experi start pickup airport drop airport pre allot room precomput registr hand key inform car give excel feel nice spread menu breakfast dinner well made room servic,86.10531708959358
raintre st mari road,,good stay staff attent help particular special need man year old howev room adequ furnish need least chair husband wife sit drink tea,70.52934919446857
fabhotel priyadarshini park mount road,,overal good room need regular clean hotel staff good,69.18274004099824
mar classic,valu money,valu money book mmt locat good natur manag staff also good room cleanli averag sinc ac work proper clean staff use toilet pot absenc disgust tea breakfast good complimentari airport drop wifi also good overal valu money book mmt,70.39925715638378
radisson blu grt chennai,busi hotel superb,go room verynic servic excel antast food tast wow rent low high everyth good fine neat love chennai guy love raddison hotel good,99.6714056145546
key hotel kattima,need lot work,servic slow issu toilet book smoke room wherea said smoke room breakfast list menu didnt deliv room staff come knock everi room clean ask wake call didnt get dont tri biryani burn tongu,61.12033292658114
radisson chennai citi centr india,,addit bed provid disgrac did provid requir sheet addit towel paid,65.3328200062844
park chennai,good place stay,overal good place stay food good room clean enough space best place visa interview place right opposit case forgot someth visa get quick room,85.9256690845418
itc grand chola,fantast,attent detail fantast,99.49876041216737
dee cee manor,room valu money,hotel restaur bad cost time mrp tast food also room good room key given time alway ask open door restaur valu money near nagar jeeva park,68.46508844665698
taj club hous,taj clubhous novemb,hotel staff friend courteous room nice size clean restaur roof mediterranean cuisin fabul veri nice hotel stay busi chennai,93.47012209366278
lemon tree chennai,wifi servic avail,overal experi good hotel hotel locat near airport behaviour hotel staff good hotel food drink avail hotel good activ avail hotel wifi servic avail hotel,86.3435828986766
mar classic,nice hotel valu money,nice hotel near airport book sister famili surpris see nice place min price stay two night comfort nice thank makemytrip also great deal,80.98127425146775
fabhotel blossom nagar,good,stay offici purpos locat main citi easi locat room appear need improv room sapc good cleanli maintain overal experi servic need improv,64.85873326899818
raj park chennai,,breakfast excellenta well room servic also good,79.82553736591932
treebo grand marena,good hospit,good hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospitalitygood hospit,67.27195646823083
fortun select palm,fantast staff,even though busi trip realli fantast time hotel staff extrem kind courteous went way make breakfast dinner memor alway help local travel advis,79.01692821924888
bkr grand,pleasant stay,stay pleasant facil mention websit provid welcom breakfast given reason came late wherea inform time check time till breakfast serv wifi password given whole servic extrem poor,64.01981948878272
manickam grand,ok famili,good place stay famili issu,70.60531940489703
courtyard chennai india,bad maintain hotel,stay one night hotel transit colombo londo air condit whole floor room bad defect result signific damp throughout part build felt hotel basic uninhabit,59.482957784700446
emarald,locat good room secur good,everi thing ok hotel maneg open guest room without permiss guest time secur hotel,60.909542284173384
peac inn,nice place stay coupl day,stay us visa appoint best choic think made apart shabbi way everyth els perfect littl insid close us consul offic marina beach hotel staff good help overal four five,71.24320507340713
vgp golden beach resort,good need improv,recept good pool good kid area need mainten room good bedsheet torn bathroom soap holder mugbucket water outlet bad lead water stagnant kind stinki time open buffet worst resort buffet ever restaur slow servic proper guidanceboard direct,61.98704476224357
king cross resid,overal good stay,good locat good breakfast good servic good hospit pleasur stay one thing ac work ceil fan avail surround smell cigarett smoke room overal good worth money second time could stay,78.35150363483771
e hotel,comfort enjoy famili,hotel room spacious larg servic offer hotel personnel cordial appreci discomfort hotel provid vegetarian food item howev adjoin food court ea mall provid type food overal hotel stay enjoy,85.34613564606371
radisson chennai citi centr india,amaz stay,word worth money absolut amaz stay staff make possibl make stay memor amaz stay favourit list make sure repeat stay soon,98.55401522865205
gokulam park sabari omr,awesom experi,good stay front desk execut support polit went extra mile bring smile would also like appreci manju support room spacious amibi excel valu money,74.28371878681686
sathyam grand resort,averag place stay,hospit lack front desk incharg want check onlin payment made makemytrip infact approv discount offer makemytrip initi made understand deal way custom treat hotel,61.82115577557218
raj resid,ok respons front offic person rough,super nice like hotel oooooooooknnnnnnnnnnnnnnnnnnjdjjsshdbdbdbdnndndndjdjdjdjdjdjdkdkrrkkdkdkdkdndmdndndndndjfjfjjtjrjddjnsmsksksjdjdjdjdndndndnffnfjjdjdjdndndjdjduensjeudjsidndndmmfmfndnfndnndjekdkejdkkskskkdkskdhfnjdrjjdjdjjdkskzjdhjdjdjdjejdjjd,77.70430831574923
dee cee manor,worst room wast money,paid night th june th june didnt stay singl day alreadi rais complaint make trip told make trip cse cancel cse say refund book anoth hotel near thoraipakkam worst room never seen life toilet worst unclean door lock privaci worst room servic worst front offic behaviour,31.739881438973697
hanu reddi resid poe garden,best hotel surround,properti locat close tamil nadu cm thalaivar rajinikanth hous expect tight secur safe silent lot tree around away traffic nois room clean good facil hotel staff also courteous let would food better,74.07548169514364
royal star,hotel good per cost,hotel locat near chennai central railway station km front offic staff behaviour good alway book hotel makemytrip hotel didnt want print hotel voucher hotel told us give print book voucher charg per tariff food qualiti also good day laundri facil avail hotel,66.36580837148924
