iter	RMSE
0	20.4681948
1	19.90511688
2	19.39309896
3	18.87703974
4	18.45879128
5	18.04002221
6	17.69545431
7	17.35925163
8	17.00400118
9	16.72351147
10	16.444392
11	16.17624013
12	15.95132699
13	15.75404734
14	15.56580428
15	15.38705911
16	15.24013895
17	15.07367923
18	14.91941372
19	14.77121755
20	14.64692878
21	14.51666582
22	14.39157793
23	14.29133875
24	14.17979694
25	14.088185
26	13.99449523
27	13.90120714
28	13.81698384
29	13.70932641
30	13.62227218
31	13.54917308
32	13.46150794
33	13.39213564
34	13.32049621
35	13.25499992
36	13.18490346
37	13.11926673
38	13.03911726
39	12.97475776
40	12.91126264
41	12.85438452
42	12.78618145
43	12.73267641
44	12.68716488
45	12.63657005
46	12.59224399
47	12.53915865
48	12.49492374
49	12.43798217
50	12.39221961
51	12.35857611
52	12.31878909
53	12.27813708
54	12.23899815
55	12.2020501
56	12.1641969
57	12.12994995
58	12.10024617
59	12.04577255
60	12.02064974
61	11.98557184
62	11.93802783
63	11.90628418
64	11.85657225
65	11.82376124
66	11.77577768
67	11.74032212
68	11.71862728
69	11.68938319
70	11.66390156
71	11.64346264
72	11.60107966
73	11.56633849
74	11.53493356
75	11.51658395
76	11.48547881
77	11.46368075
78	11.43361389
79	11.39148243
80	11.37453112
81	11.35938171
82	11.30884097
83	11.27127168
84	11.25471364
85	11.22954659
86	11.21726917
87	11.18774993
88	11.16914502
89	11.1319985
90	11.11625155
91	11.08625815
92	11.06805506
93	11.04459692
94	11.02818646
95	10.99574645
96	10.95736591
97	10.93728669
98	10.90881007
99	10.89075345
100	10.87442746
101	10.86108445
102	10.84852882
103	10.8218327
104	10.79550611
105	10.77880806
106	10.76309551
107	10.75103462
108	10.72877402
109	10.71305635
110	10.67413678
111	10.65243954
112	10.63911141
113	10.61198515
114	10.57613473
115	10.52255321
116	10.50441586
117	10.47561532
118	10.45925478
119	10.44055078
120	10.41096916
121	10.39841034
122	10.38782989
123	10.36990482
124	10.34909471
125	10.33290201
126	10.31863511
127	10.30678309
128	10.291672
129	10.26907189
130	10.22353179
131	10.2003533
132	10.16702739
133	10.14649534
134	10.1311794
135	10.10852444
136	10.0970589
137	10.06438288
138	10.04585469
139	10.02247569
140	9.997588995
141	9.986161588
142	9.970857993
143	9.935432223
144	9.925287965
145	9.915779464
146	9.875941627
147	9.859600455
148	9.8434512
149	9.821441558
150	9.801314579
151	9.789761881
152	9.76365753
153	9.754900471
154	9.729356702
155	9.721323076
156	9.701190077
157	9.67950609
158	9.664692856
159	9.652048206
160	9.628580138
161	9.620078282
162	9.592745367
163	9.583302388
164	9.544007015
165	9.534317515
166	9.516932199
167	9.509867296
168	9.487892721
169	9.476794867
170	9.435262748
171	9.417848887
172	9.396059427
173	9.386013288
174	9.366332873
175	9.34674313
176	9.320099636
177	9.310627527
178	9.293706813
179	9.260515259
180	9.254453458
181	9.241549167
182	9.229053442
183	9.199643697
184	9.183542481
185	9.171354551
186	9.164182334
187	9.157075034
188	9.147712916
189	9.140900395
190	9.135036326
191	9.1147416
192	9.096576354
193	9.091422901
194	9.08457601
195	9.079651127
196	9.074856501
197	9.062932203
198	9.047741494
199	9.029012256
200	9.01408367
201	8.993189123
202	8.976276357
203	8.968483741
204	8.963286842
205	8.955856258
206	8.937038083
207	8.928783584
208	8.911240436
209	8.906417805
210	8.889180738
211	8.879726309
212	8.855613163
213	8.84139685
214	8.822198338
215	8.815598924
216	8.798506993
217	8.794112373
218	8.787029765
219	8.730101125
220	8.722947216
221	8.711905241
222	8.706721563
223	8.702377734
224	8.65221934
225	8.645529453
226	8.630395101
227	8.625169044
228	8.616354528
229	8.612440197
230	8.596910617
231	8.583961163
232	8.577008181
233	8.547356848
234	8.541223455
235	8.53441206
236	8.518675566
237	8.508085786
238	8.49822779
239	8.494783175
240	8.480188225
241	8.472534071
242	8.465317619
243	8.451461066
244	8.447117816
245	8.441172931
246	8.413095829
247	8.40018895
248	8.39489539
249	8.391607292
250	8.379748461
251	8.373074564
252	8.368070898
253	8.364767146
254	8.348208292
255	8.343569954
256	8.340319134
257	8.33788275
258	8.332492327
259	8.32079382
260	8.299729804
261	8.294176304
262	8.290038814
263	8.278853706
264	8.27527789
265	8.266446775
266	8.262734542
267	8.258388362
268	8.252780571
269	8.247428677
270	8.240352538
271	8.235096664
272	8.23198474
273	8.228233005
274	8.217234257
275	8.210191675
276	8.207762376
277	8.205438277
