iter	Passed	Remaining
0	137	136883
1	272	135900
2	402	133747
3	536	133607
4	671	133665
5	808	133919
6	946	134303
7	1079	133835
8	1219	134300
9	1356	134253
10	1486	133611
11	1620	133395
12	1761	133735
13	1894	133408
14	2044	134275
15	2177	133945
16	2313	133799
17	2446	133472
18	2582	133357
19	2725	133545
20	2854	133090
21	2989	132874
22	3123	132677
23	3259	132557
24	3390	132212
25	3517	131777
26	3650	131547
27	3782	131311
28	3915	131097
29	4052	131045
30	4187	130907
31	4317	130591
32	4449	130381
33	4582	130206
34	4716	130046
35	4854	130004
36	4983	129705
37	5118	129572
38	5252	129422
39	5391	129406
40	5528	129315
41	5666	129243
42	5799	129063
43	5929	128833
44	6060	128623
45	6199	128565
46	6326	128287
47	6457	128078
48	6592	127949
49	6727	127825
50	6863	127712
51	6996	127544
52	7130	127412
53	7262	127230
54	7389	126959
55	7527	126895
56	7656	126662
57	7786	126469
58	7917	126280
59	8053	126170
60	8190	126080
61	8322	125904
62	8461	125854
63	8591	125644
64	8724	125499
65	8856	125326
66	8993	125239
67	9125	125070
68	9261	124958
69	9396	124839
70	9525	124630
71	9658	124484
72	9801	124466
73	9936	124338
74	10069	124185
75	10199	124002
76	10328	123808
77	10463	123678
78	10589	123456
79	10734	123445
80	10863	123251
81	10996	123109
82	11134	123016
83	11266	122860
84	11391	122621
85	11523	122468
86	11649	122255
87	11779	122080
88	11906	121875
89	12038	121718
90	12169	121561
91	12298	121381
92	12432	121250
93	12563	121093
94	12692	120915
95	12821	120735
96	12958	120634
97	13086	120445
98	13215	120270
99	13337	120036
100	13462	119826
101	13588	119632
102	13715	119448
103	13849	119319
104	13976	119129
105	14109	119001
106	14233	118787
107	14356	118572
108	14489	118439
109	14623	118317
110	14760	118214
111	14892	118080
112	15020	117901
113	15148	117732
114	15280	117593
115	15422	117527
116	15547	117334
117	15674	117163
118	15813	117069
119	15952	116984
120	16088	116871
121	16214	116690
122	16347	116560
123	16485	116463
124	16621	116351
125	16748	116174
126	16871	115974
127	16996	115788
128	17124	115625
129	17260	115511
130	17397	115407
131	17526	115247
132	17657	115105
133	17781	114918
134	17905	114730
135	18039	114601
136	18165	114429
137	18299	114303
138	18436	114198
139	18567	114059
140	18695	113896
141	18821	113726
142	18955	113600
143	19091	113489
144	19224	113356
145	19351	113195
146	19492	113108
147	19618	112936
148	19746	112780
149	19880	112658
150	20007	112493
151	20135	112334
152	20266	112194
153	20396	112049
154	20529	111917
155	20656	111757
156	20791	111638
157	20917	111470
158	21044	111310
159	21171	111150
160	21300	111002
161	21424	110824
162	21552	110673
163	21685	110543
164	21813	110388
165	21945	110257
166	22081	110144
167	22203	109961
168	22332	109813
169	22460	109661
170	22602	109577
171	22726	109403
172	22856	109260
173	22988	109131
174	23117	108981
175	23255	108876
176	23389	108753
177	23514	108587
178	23642	108440
179	23777	108319
180	23904	108164
181	24038	108040
182	24165	107886
183	24303	107780
184	24437	107656
185	24567	107514
186	24694	107359
187	24819	107197
188	24952	107072
189	25087	106953
190	25216	106809
191	25351	106685
192	25480	106541
193	25612	106410
194	25740	106264
195	25873	106134
196	26001	105986
197	26134	105859
198	26275	105761
199	26408	105634
200	26545	105521
201	26673	105372
202	26812	105269
203	26944	105138
204	27078	105012
205	27204	104857
206	27341	104742
207	27476	104621
208	27617	104522
209	27744	104372
210	27871	104221
211	28009	104108
212	28143	103985
213	28270	103832
214	28403	103704
215	28531	103559
216	28669	103448
217	28797	103301
218	28926	103159
219	29069	103062
220	29205	102946
221	29335	102804
222	29475	102701
223	29608	102571
224	29751	102475
225	29888	102362
226	30025	102246
227	30156	102110
228	30287	101972
229	30421	101844
230	30548	101696
231	30674	101544
232	30812	101429
233	30948	101311
234	31075	101160
235	31206	101026
236	31333	100874
237	31459	100721
238	31592	100592
239	31722	100454
240	31855	100324
241	31987	100192
242	32119	100058
243	32250	99922
244	32375	99769
245	32507	99636
246	32637	99499
247	32766	99356
248	32892	99205
249	33018	99054
250	33144	98905
251	33276	98772
252	33404	98629
253	33531	98482
254	33656	98329
255	33784	98184
256	33918	98060
257	34045	97914
258	34179	97786
259	34307	97643
260	34444	97528
261	34575	97393
262	34702	97247
263	34836	97119
264	34969	96990
265	35102	96862
266	35228	96713
267	35352	96558
268	35476	96406
269	35602	96259
270	35734	96128
271	35868	96000
272	35999	95867
273	36123	95713
274	36255	95582
275	36380	95433
276	36510	95295
277	36637	95153
278	36773	95031
279	36904	94896
280	37045	94788
281	37177	94657
282	37303	94512
283	37435	94379
284	37560	94231
285	37690	94095
286	37815	93946
287	37945	93810
288	38071	93664
289	38202	93530
290	38334	93399
291	38459	93249
292	38590	93118
293	38718	92976
294	38842	92826
295	38981	92713
296	39105	92562
297	39237	92431
298	39361	92282
299	39493	92151
300	39616	91999
301	39748	91868
302	39875	91727
303	40006	91592
304	40138	91462
305	40264	91319
306	40398	91192
307	40522	91045
308	40658	90921
309	40783	90775
310	40907	90628
311	41039	90497
312	41165	90352
313	41293	90214
314	41423	90078
315	41550	89939
316	41680	89803
317	41816	89682
318	41953	89561
319	42089	89441
320	42215	89297
321	42340	89151
322	42470	89017
323	42603	88887
324	42727	88741
325	42851	88595
326	42980	88458
327	43106	88314
328	43240	88188
329	43371	88058
330	43506	87932
331	43646	87818
332	43779	87689
333	43909	87556
334	44034	87412
335	44166	87281
336	44289	87133
337	44421	87002
338	44546	86858
339	44678	86728
340	44810	86597
341	44946	86476
342	45074	86338
343	45204	86203
344	45337	86076
345	45469	85945
346	45603	85818
347	45732	85682
348	45859	85543
349	45991	85412
350	46125	85286
351	46257	85155
352	46384	85016
353	46514	84882
354	46642	84744
355	46772	84610
356	46914	84499
357	47048	84371
358	47181	84243
359	47312	84111
360	47442	83977
361	47572	83843
362	47698	83703
363	47838	83586
364	47972	83458
365	48097	83316
366	48236	83197
