Id,Hotel_name,Review_Title,Review_Text,Rating
0,Park Hyatt,Refuge in Chennai,"Excellent room and exercise facility. All around atmosphere was calm and comfortable. Main dining room offers both excellent food and service. Avoid Flying Elephant restaurant, stick to the main dining room.",80.0
1,Hilton Chennai,Hilton Chennai,"Very comfortable and felt safe. 
Staff were very helpful and respectful. Breakfast offered a wide choice which cartered for every palate, started early and finished late.",100.0
2,The Royal Regency,No worth the rating shown in websites. Pricing is OK,Not worth the rating shown. Service is not good. Room not well maintained. Room are spacious. Illumination of room was very poor. TV Remote not working. Carry good mosquito repalent. Location wise it is excellent who want to stay in near central Chennai.,71.0
3,Rivera,Good stay,"First of all nice & courteous staff, only one con during my stay was at time of check in at night, the receptionist behaviour was inappropriate at the time which I felt quite disappointed. Room was neat, food was exceptional.",86.0
4,Park Hyatt,Needs improvement,Overall ambience of the hotel is very good. In room facilities need to improve & there is a need for providing services as per customer booking. 3 people in same room has been provided with 2 persons facility whereas the charges remains for 3 people.,86.0
5,Everest,"Good atmosphere, food and drinks not available","I reached the hotel by car, felt good for co-operation of office staff and the room service was very late. The hotel atmosphere is very good, food and drinks are not available in hotel. It was nice experience for me of the above visit of the hotel and enjoyed lot with my friends, they also are very happy of above journey.",71.0
6,Metro Grand,Lovely hotel,The hotel is pretty clean with excellent bedding and a very clean bath. The wifi works on and off an probably that's one of the areas that needs to be improved . They do not have a business center but I got printouts from them. Buffet breakfast was South Indian and had toasted bread too.,80.0
7,Oyo Rooms Anna Arch Arumbakkam,Not worth the money,No hot water.wifi limited to lobby. Average cleanliness.,40.0
8,The Park Chennai,,Hotel staff are not co-ordinating well for the room service and Billing payment.,40.0
9,FabHotel Priyadarshini Park Mount Road,Good hotel with poor services,"Location and cleanliness is good. But as far as customer service is concerned, it is very worst. Even the manager doesn't respond well. Worst behaviour of staff. I didn't expect this kind of behaviour. It would be great if makemytrip does something about this.",57.0
10,Treebo J's Five Two Boutique,Good appearance & amazing hotel to stay,It's amazing and I got so many benefits from this. They handle us very smooth. And the hotel appearance is very good and the members are like good participants. Their method of serving is very different from all of the Indian hotels. I think they are give complete approach to us.,86.0
11,Treebo Nestlay Casa,Nice cozy place,"Nice place,excellent value for money.

Only thing that could be better was hygiene.Had mosquitoes in the room,the staff took no action,got well resolved after calling treebo helpline. Would definitely comeback.",80.0
12,Season 4 Guest House,Hotel review,"The activity was not conducted in the hotel. The behaviour of the staff’s was good at the hotel. The railway station and bus stand was nearby the hotel. I had visited this hotel with my family. The room given to me was not neat, clean and not spacious. All amenities were provided in the room. The best part of the hotel was location. I would suggest this hotel to improve room service. The service was not good in the hotel.",43.0
13,Raj Park Chennai,Worst stay ever.,"Booked a Deluxe Room with an occupancy for 2 people. The room that we got had below amenities:

1) No Ventilation.
2) The room was stinky(The room was smelling like it was in close proximity with drainage) 
3) Congested (The room was very small)
4) The window opened(open the curtain) into a huge wall which was 2 feet away. Which means forget the natural light you cant even see the sky from the room with an opened window.",20.0
14,Opera Residency,Average hotel at reasonable price,"Hotel is good with AC and WiFi. Staff in the hotel are very cooperative but food served in the hotel was not good. They don't have their own restaurant, they brought it from somewhere nearby. Location wise its near to Marina Beach. Finding the hotel is a bit difficult as the landmark nearby is not sufficient. Average hotel for average price.",71.0
15,Bhimaas,Great hotel,The hotel is great and its location makes it even better. Its opposite SIMS hospital and next to metro station. The only problem is the WiFi here is pretty slow or we can say doesn't even works sometime.,86.0
16,Avnb Towers,Great hotel for overnight stay near airport,This hotel is great for overnight stay if you need to be near the airport. Staff are helpful and courteous. Room was small but clean and basic.,60.0
17,Goutham Manor,Not worth for money,It was OK. Not worth as shown the pics in make my trip. Room was small and bed was very small. AC was not working. In bathroom no exhaust. Breakfast they have only idli bread and tea. Not so good. I will not recommend for family stay.,43.0
18,Akshay Inn,Good for short business trip,"Great Location for my kind of business. Proximity to Koyambedu Bust terminus. Room clean and normal, no frills and other services. Friendly staff. No Restaurant facility. Breakfast OK. Parking space available. Recommended for short business travel with economical stay.",57.0
19,The Raintree,PERSONAL,The hotel location is good... but the beds are very bad and old. The shower room was not all clean.,60.0
20,Savera,,This place is infested with roaches. The towels provided very old though clean. The place charges more due to its proximity with US consulate. Food is expensive. This is an average hotel but expensive for the rates,60.0
21,Le Royal M?ridien Chennai,Good hospitality and value for money,Located centrally. Value for money. I should specially appreciate Mr. Prabhakar at restaurant for breakfast. Superb service. I definitely like to stay again. I will recommend superior rooms which are really awesome. Good hospitality and front office response is good.,86.0
22,Park Hyatt,Hotel Review,My experience of the hotel was very nice. The transportation facility was not provided by the hotel. The activities were available at the hotel. I would recommend this hotel for upcoming travellers.,86.0
23,Rivera,A budget hotel in city center with all amenities,"I had visited this hotel for official trip. Good hotel with good food and service. The hotel is very clean and everything worked well in my room, including fan, air-con, TV and hot water. All amenities were provided in the room. The complimentary breakfast was provided in the hotel.",86.0
24,The Raintree,,Good,80.0
25,Taj Coromandel,Don't miss the pool!,Very nice hotel with excellent accommodations and service. Don't miss the pool - it is a peaceful paradise in the middle of a busy city. The hotel staff went above and beyond to make sure we had everything we needed and that our stay was perfect.,100.0
26,Nayagara,It was good,It was good. Food was OK. Location is much convenient. ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,71.0
27,Akash Inn,Tasty food and good facilities,"Akash Inn one of the best place in Chennai. So many of people like this hotel only. All facilities are available in this hotel. Foods are of very good taste. It's a good place to take a break or crash is your in town for a short visit, and you need a place that won't tear your pocket for the stay and you've come to enjoy the city life this is the place.",100.0
28,Stay Easy Serviced Apartments Sholinganalur,Average hotel for business travellers,Had a good stay at this hotel for a weeks time. Very near to the IT companies in Chennai on OMR road. Less traffic. Breakfast is complimentary and better to have it before 9 AM. Friendly staff and language is not a barrier for them. The only disadvantage is the WIFI network.,71.0
29,My Fortune Chennai,perfect stay..just a bit too far from the airport,"It was great, the stay was perfect. Perfect rooms but they charge you for wifi. Even the variety of breakfast was something you would end up talking about all day long",100.0
